Name,Hash,Meter,Max NPS,Log Length,N_0,N_0.2,N_0.4,N_0.6,N_0.8,T_0,T_0.2,T_0.4,T_0.6,T_0.8,PS_0,PS_0.2,PS_0.4,PS_0.6,PS_0.8,B_0_0,B_0_1,B_0_2,B_0_4,B_0_8,B_0_16,B_0.2_0,B_0.2_1,B_0.2_2,B_0.2_4,B_0.2_8,B_0.2_16,B_0.4_0,B_0.4_1,B_0.4_2,B_0.4_4,B_0.4_8,B_0.4_16,B_0.6_0,B_0.6_1,B_0.6_2,B_0.6_4,B_0.6_8,B_0.6_16,B_0.8_0,B_0.8_1,B_0.8_2,B_0.8_4,B_0.8_8,B_0.8_16
Stamina RPG 6/[11] [128] Alcohol-Free,0b020e29c3919c10c1d3fb2776e813b18af30114,11,8.53709809375,8.321928094887362,0.7498282304687688,2.586434931250005,4.811338475643378,5.81671387290112,8.455592186373208,8.31741261376487,8.29920801838728,8.276124405274238,8.108524456778168,7.7073591320808825,1.0,0.9968253968253968,0.9840764331210191,0.8757961783439491,0.6666666666666666,8.31741261376487,8.31741261376487,8.31741261376487,8.31741261376487,8.31741261376487,8.31741261376487,7.876516946564999,8.29920801838728,8.29920801838728,8.29920801838728,8.29920801838728,8.29920801838728,6.906890595608519,7.857980995127572,8.276124405274238,8.276124405274238,8.276124405274238,8.276124405274238,5.906890595608519,6.584962500721156,6.832890014164741,7.348728154231077,8.108524456778168,8.108524456778168,5.882643049361842,5.882643049361842,5.882643049361842,5.882643049361842,6.584962500721156,6.584962500721156
Stamina RPG 6/[11] [136] Cowboy,f2bc769bdf7addfc64d7e46643e194f184820a56,11,9.072642657439467,8.39231742277876,0.8113037200886124,2.607096341176472,4.4388317638444486,6.7389825147236255,8.705984638519569,8.388017285345136,8.366322214245816,8.276124405274238,8.199672344836364,7.451211111832329,1.0,0.9909638554216867,0.9307228915662651,0.8878787878787879,0.5304878048780488,8.388017285345136,8.388017285345136,8.388017285345136,8.388017285345136,8.388017285345136,8.388017285345136,7.912889336229962,8.285402218862249,8.366322214245816,8.366322214245816,8.366322214245816,8.366322214245816,6.392317422778761,7.149747119504682,7.7615512324444795,7.851749041416057,8.276124405274238,8.276124405274238,6.392317422778761,6.392317422778761,7.651051691178929,7.700439718141092,8.149747119504681,8.199672344836364,5.930737337562887,5.930737337562887,5.930737337562887,6.149747119504682,6.149747119504682,7.400879436282184
Stamina RPG 6/[11] [136] Flutterwonder (Hard),fc05556c0b501fabafe79a16923e910518d5d03d,11,9.072580622837439,8.303780748177102,0.8863820934256093,2.661041013071893,4.8486392733563966,5.78116867759892,9.031797828332387,8.174925682500678,8.049848549450562,7.839203788096944,7.499845887083206,7.076815597050831,0.9171974522292994,0.8571428571428571,0.7574750830564784,0.6545454545454545,0.48727272727272725,7.409390936137702,7.434628227636725,7.434628227636725,7.434628227636725,7.434628227636725,7.434628227636725,7.2761244052742375,7.383704292474052,7.383704292474052,7.383704292474052,7.383704292474052,7.383704292474052,7.169925001442312,7.169925001442312,7.169925001442312,7.169925001442312,7.169925001442312,7.199672344836364,5.857980995127572,5.977279923499917,6.108524456778169,6.820178962415188,6.820178962415188,6.820178962415188,5.832890014164741,5.832890014164741,5.832890014164741,5.832890014164741,5.832890014164741,5.832890014164741
Stamina RPG 6/[11] [124] Glory Days,c0b5988bae418d86ccac7c7209f605932857bb81,11,8.267949752341304,8.554588851677638,0.4395231172656718,2.453735795005204,4.179109757657061,5.690847573614881,8.20875440906465,8.451211111832329,8.396604781181859,8.252665432450248,7.794415866350106,7.499845887083206,0.9331550802139037,0.9032258064516129,0.8216216216216217,0.6225352112676056,0.5070422535211268,7.442943495848728,7.442943495848728,7.442943495848728,7.442943495848728,7.442943495848728,8.451211111832329,7.426264754702098,7.426264754702098,7.426264754702098,7.426264754702098,7.426264754702098,8.396604781181859,5.930737337562887,7.2384047393250786,7.2384047393250786,7.348728154231077,7.348728154231077,8.252665432450248,5.906890595608519,6.044394119358453,6.189824558880018,6.475733430966398,6.930737337562887,6.930737337562887,5.882643049361842,5.882643049361842,5.930737337562887,6.475733430966398,6.475733430966398,6.475733430966398
Stamina RPG 6/[11] [145] Hawaiian Roller Coaster Ride (Medium),d0b51e7437f6705f45bf6d9c1254964330bfcc4e,11,9.66706302021411,8.400879436282183,1.1840948236226643,3.1686992031131793,4.943684296111415,6.52565941093936,9.478334109349545,8.396604781181859,8.383704292474052,8.179909090014934,7.562242424221073,6.768184324776926,1.0,0.9970059880239521,0.8652694610778443,0.5645645645645646,0.35294117647058826,8.396604781181859,8.396604781181859,8.396604781181859,8.396604781181859,8.396604781181859,8.396604781181859,8.339850002884624,8.383704292474052,8.383704292474052,8.383704292474052,8.383704292474052,8.383704292474052,6.044394119358453,6.339850002884624,7.994353436858858,7.994353436858858,8.179909090014934,8.179909090014934,5.247927513443585,5.247927513443585,5.754887502163468,5.78135971352466,7.044394119358453,7.044394119358453,5.169925001442312,5.169925001442312,5.169925001442312,5.285402218862249,5.285402218862249,5.321928094887363
Stamina RPG 6/[11] [130] Helix (Hard),cff2af5d6310984334df77ff350216ddf87f9373,11,8.671501775147975,7.820178962415188,1.0596407692307648,2.9176568316299054,4.411572347140052,6.090607559171598,8.565089448451598,7.813781191217037,7.7481928495894605,7.592457037268081,7.475733430966398,7.108524456778169,1.0,0.963963963963964,0.8767123287671232,0.855072463768116,0.6618357487922706,7.813781191217037,7.813781191217037,7.813781191217037,7.813781191217037,7.813781191217037,7.813781191217037,7.076815597050831,7.076815597050831,7.076815597050831,7.076815597050831,7.7481928495894605,7.7481928495894605,6.714245517666122,6.714245517666122,6.714245517666122,6.894817763307944,6.894817763307944,7.592457037268081,5.392317422778761,6.658211482751795,6.658211482751795,6.807354922057604,6.807354922057604,7.475733430966398,5.357552004618084,5.357552004618084,5.78135971352466,5.78135971352466,5.977279923499917,5.977279923499917
Stamina RPG 6/[11] [131] In The Game (The Football Song),2dfb525a8c6de1ca511944ec05ccf306725559c0,11,8.738724064565016,8.417852514885897,0.5893593688225599,2.8163704022946114,4.618010705806936,6.23274067017993,8.380343215764569,8.400879436282183,8.353146825498083,8.312882955284355,8.149747119504681,7.734709620225838,0.9911764705882353,0.9644970414201184,0.9378698224852071,0.8498498498498499,0.6404833836858006,6.870364719583405,7.800899899920305,8.400879436282183,8.400879436282183,8.400879436282183,8.400879436282183,6.643856189774724,6.845490050944375,7.754887502163468,8.353146825498083,8.353146825498083,8.353146825498083,6.149747119504682,6.820178962415188,6.820178962415188,8.312882955284355,8.312882955284355,8.312882955284355,5.906890595608519,6.129283016944966,6.672425341971495,6.672425341971495,7.651051691178929,8.149747119504681,5.882643049361842,5.930737337562887,6.0,6.0,6.3750394313469245,7.734709620225838
Stamina RPG 6/[11] [145] Kislotnyy Dozhd (Medium),7d33178f3884890ee3766e42ac949261e33f2c5c,11,9.667063020214053,8.651051691178928,0.18740572651605225,3.553275384671197,4.782458874061146,6.35315616224071,9.641940606511712,8.64745842645492,8.640244936222345,8.409390936137703,7.139551352398794,7.044394119358453,1.0,1.0,0.8560606060606061,0.40816326530612246,0.41324921135646686,8.64745842645492,8.64745842645492,8.64745842645492,8.64745842645492,8.64745842645492,8.64745842645492,8.640244936222345,8.640244936222345,8.640244936222345,8.640244936222345,8.640244936222345,8.640244936222345,6.741466986401147,7.066089190457772,7.066089190457772,8.339850002884624,8.409390936137703,8.409390936137703,5.78135971352466,5.78135971352466,5.78135971352466,5.78135971352466,5.78135971352466,5.78135971352466,5.754887502163468,5.754887502163468,5.754887502163468,5.754887502163468,5.754887502163468,5.754887502163468
Stamina RPG 6/[11] [120] Le Perv,6a470b19828fdd771de49098a17fb73beb7e78ed,11,8.0,7.098032082960526,0.27739799999999937,2.8033519999999994,4.178455999999999,6.054000000000005,7.99900809448819,7.087462841250339,7.066089190457772,7.05528243550119,7.011227255423254,7.0,1.0,1.0,1.0,1.0,1.0,7.087462841250339,7.087462841250339,7.087462841250339,7.087462841250339,7.087462841250339,7.087462841250339,7.066089190457772,7.066089190457772,7.066089190457772,7.066089190457772,7.066089190457772,7.066089190457772,7.05528243550119,7.05528243550119,7.05528243550119,7.05528243550119,7.05528243550119,7.05528243550119,7.011227255423254,7.011227255423254,7.011227255423254,7.011227255423254,7.011227255423254,7.011227255423254,7.0,7.0,7.0,7.0,7.0,7.0
Stamina RPG 6/[11] [124] Lonely,cc5d918a88d4981a54dbf456f025b781b8a90c5d,11,8.267895433923096,8.49585502688717,0.8727219937565088,2.6430845645860184,4.090420542870041,5.29123446469452,8.209015727897322,8.491853096329674,8.447083226209653,8.139551352398794,7.459431618637297,7.339850002884624,1.0,0.9747899159663865,0.7982954545454546,0.5177514792899408,0.540268456375839,8.491853096329674,8.491853096329674,8.491853096329674,8.491853096329674,8.491853096329674,8.491853096329674,7.7615512324444795,7.894817763307944,8.409390936137703,8.447083226209653,8.447083226209653,8.447083226209653,5.954196310386875,6.507794640198696,6.507794640198696,7.523561956057013,8.139551352398794,8.139551352398794,4.857980995127572,4.857980995127572,4.857980995127572,6.087462841250339,6.087462841250339,6.087462841250339,4.807354922057604,4.807354922057604,4.807354922057604,6.044394119358453,6.044394119358453,6.044394119358453
